Connecting to host 10.0.0.2, port 5204
[  4] local 10.0.0.1 port 46116 connected to 10.0.0.2 port 5204
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]   0.00-1.00   sec  96.2 KBytes   787 Kbits/sec    0   28.3 KBytes       
[  4]   1.00-2.00   sec   279 KBytes  2.28 Mbits/sec    0   45.2 KBytes       
[  4]   2.00-3.01   sec   127 KBytes  1.04 Mbits/sec    0   49.5 KBytes       
[  4]   3.01-4.01   sec  63.6 KBytes   520 Kbits/sec    0   52.3 KBytes       
[  4]   4.01-5.00   sec   191 KBytes  1.57 Mbits/sec    0   70.7 KBytes       
[  4]   5.00-6.00   sec  63.6 KBytes   522 Kbits/sec    0   77.8 KBytes       
[  4]   6.00-7.00   sec   255 KBytes  2.08 Mbits/sec    0    112 KBytes       
[  4]   7.00-8.00   sec  63.6 KBytes   522 Kbits/sec   13   93.3 KBytes       
[  4]   8.00-9.00   sec  0.00 Bytes  0.00 bits/sec    0   91.9 KBytes       
[  4]   9.00-10.00  sec   127 KBytes  1.04 Mbits/sec   11   89.1 KBytes       
[  4]  10.00-11.00  sec  0.00 Bytes  0.00 bits/sec    0   89.1 KBytes       
[  4]  11.00-12.00  sec  0.00 Bytes  0.00 bits/sec    9   89.1 KBytes       
[  4]  12.00-13.00  sec   191 KBytes  1.56 Mbits/sec    0   76.4 KBytes       
[  4]  13.00-14.00  sec   191 KBytes  1.56 Mbits/sec    0   69.3 KBytes       
[  4]  14.00-15.00  sec   127 KBytes  1.04 Mbits/sec    0   73.5 KBytes       
[  4]  15.00-16.00  sec   191 KBytes  1.56 Mbits/sec    0   74.9 KBytes       
[  4]  16.00-17.00  sec  63.6 KBytes   521 Kbits/sec    0   74.9 KBytes       
[  4]  17.00-18.00  sec  63.6 KBytes   521 Kbits/sec    0   77.8 KBytes       
[  4]  18.00-19.00  sec  63.6 KBytes   521 Kbits/sec    0   83.4 KBytes       
[  4]  19.00-20.00  sec  63.6 KBytes   521 Kbits/sec    0   97.6 KBytes       
[  4]  20.00-21.00  sec   127 KBytes  1.04 Mbits/sec    0    119 KBytes       
[  4]  21.00-22.00  sec   255 KBytes  2.08 Mbits/sec    0    157 KBytes       
[  4]  22.00-23.00  sec   445 KBytes  3.65 Mbits/sec    0    212 KBytes       
[  4]  23.00-24.00  sec  63.6 KBytes   522 Kbits/sec    5    212 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   30    154 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    2    154 KBytes       
[  4]  26.00-27.00  sec  0.00 Bytes  0.00 bits/sec    3    154 KBytes       
[  4]  27.00-28.00  sec  0.00 Bytes  0.00 bits/sec   10    154 KBytes       
[  4]  28.00-29.00  sec  63.6 KBytes   521 Kbits/sec    6    154 KBytes       
[  4]  29.00-30.00  sec  0.00 Bytes  0.00 bits/sec    0    154 KBytes       
[  4]  30.00-31.00  sec   382 KBytes  3.13 Mbits/sec   12    107 KBytes       
[  4]  31.00-32.00  sec   255 KBytes  2.09 Mbits/sec    0    112 KBytes       
[  4]  32.00-33.00  sec  0.00 Bytes  0.00 bits/sec    0    112 KBytes       
[  4]  33.00-34.00  sec   127 KBytes  1.04 Mbits/sec    0    123 KBytes       
[  4]  34.00-35.00  sec  0.00 Bytes  0.00 bits/sec    0    123 KBytes       
[  4]  35.00-36.00  sec  0.00 Bytes  0.00 bits/sec   13   86.3 KBytes       
[  4]  36.00-37.00  sec   127 KBytes  1.04 Mbits/sec    2   86.3 KBytes       
[  4]  37.00-38.00  sec   191 KBytes  1.56 Mbits/sec    0   93.3 KBytes       
[  4]  38.00-39.00  sec  63.6 KBytes   521 Kbits/sec    0   97.6 KBytes       
[  4]  39.00-40.00  sec  0.00 Bytes  0.00 bits/sec    0    100 KBytes       
[  4]  40.00-41.00  sec   127 KBytes  1.04 Mbits/sec    0    103 KBytes       
[  4]  41.00-42.00  sec  63.6 KBytes   521 Kbits/sec    0    105 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec    0    112 KBytes       
[  4]  43.00-44.00  sec   255 KBytes  2.09 Mbits/sec    0    123 KBytes       
[  4]  44.00-45.00  sec   255 KBytes  2.09 Mbits/sec    0    146 KBytes       
[  4]  45.00-46.00  sec   318 KBytes  2.60 Mbits/sec    0    177 KBytes       
[  4]  46.00-47.00  sec   255 KBytes  2.09 Mbits/sec    0    216 KBytes       
[  4]  47.00-48.00  sec   891 KBytes  7.30 Mbits/sec    0    296 KBytes       
[  4]  48.00-49.00  sec   636 KBytes  5.21 Mbits/sec    0    359 KBytes       
[  4]  49.00-50.00  sec   891 KBytes  7.30 Mbits/sec    0    448 KBytes       
[  4]  50.00-51.00  sec  1.06 MBytes  8.86 Mbits/sec    0    563 KBytes       
[  4]  51.00-51.94  sec  1.25 MBytes  11.2 Mbits/sec    0    745 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-51.94  sec  10.6 MBytes  1.71 Mbits/sec  116             sender
[  4]   0.00-51.94  sec  6.94 MBytes  1.12 Mbits/sec                  receiver

iperf Done.
