Connecting to host 10.0.0.2, port 5202
[  4] local 10.0.0.1 port 46112 connected to 10.0.0.2 port 5202
[  4]  21.00-22.00  sec  0.00 Bytes  0.00 bits/sec   39    509 KBytes       
[  4]  22.00-23.00  sec  0.00 Bytes  0.00 bits/sec  224    461 KBytes       
[  4]  23.00-24.00  sec  0.00 Bytes  0.00 bits/sec   18    461 KBytes       
[  4]  24.00-25.00  sec  0.00 Bytes  0.00 bits/sec   15   1.41 KBytes       
[  4]  25.00-26.00  sec   127 KBytes  1.04 Mbits/sec    3   4.24 KBytes       
[  4]  26.00-27.00  sec   255 KBytes  2.09 Mbits/sec  120    160 KBytes       
[  4]  27.00-28.00  sec  1.24 MBytes  10.4 Mbits/sec    7    508 KBytes       
[  4]  28.00-29.00  sec   445 KBytes  3.65 Mbits/sec    0    530 KBytes       
[  4]  29.00-30.00  sec   509 KBytes  4.17 Mbits/sec    0    557 KBytes       
[  4]  30.00-31.00  sec   573 KBytes  4.69 Mbits/sec    0    585 KBytes       
[  4]  31.00-32.00  sec   573 KBytes  4.70 Mbits/sec    0    614 KBytes       
[  4]  32.00-33.00  sec   573 KBytes  4.68 Mbits/sec    0    645 KBytes       
[  4]  33.00-34.00  sec   700 KBytes  5.74 Mbits/sec    0    675 KBytes       
[  4]  34.00-35.00  sec   636 KBytes  5.22 Mbits/sec    0    721 KBytes       
[  4]  35.00-36.00  sec   509 KBytes  4.17 Mbits/sec    0    758 KBytes       
[  4]  36.00-37.00  sec  1.25 MBytes  10.5 Mbits/sec    0    911 KBytes       
[  4]  37.00-38.00  sec   184 KBytes  1.51 Mbits/sec   69    697 KBytes       
[  4]  38.00-39.00  sec  0.00 Bytes  0.00 bits/sec   31    638 KBytes       
[  4]  39.00-40.00  sec   827 KBytes  6.79 Mbits/sec   14    638 KBytes       
[  4]  40.00-41.00  sec  1.25 MBytes  10.5 Mbits/sec    0    690 KBytes       
[  4]  41.00-42.00  sec   629 KBytes  5.15 Mbits/sec    0    754 KBytes       
[  4]  42.00-43.00  sec   318 KBytes  2.61 Mbits/sec    0    785 KBytes       
[  4]  43.00-44.00  sec   573 KBytes  4.69 Mbits/sec    0    834 KBytes       
[  4]  44.00-45.00  sec  0.00 Bytes  0.00 bits/sec    7    806 KBytes       
[  4]  45.00-46.00  sec  0.00 Bytes  0.00 bits/sec   42    585 KBytes       
[  4]  46.00-47.00  sec   636 KBytes  5.22 Mbits/sec    0    585 KBytes       
[  4]  47.00-48.00  sec  1.25 MBytes  10.5 Mbits/sec    0    615 KBytes       
[  4]  48.00-49.00  sec   756 KBytes  6.20 Mbits/sec    0    655 KBytes       
[  4]  49.00-50.00  sec   636 KBytes  5.21 Mbits/sec    0    683 KBytes       
[  4]  50.00-51.00  sec   382 KBytes  3.12 Mbits/sec    0    696 KBytes       
[  4]  51.00-52.00  sec   318 KBytes  2.61 Mbits/sec    0    701 KBytes       
[  4]  52.00-53.00  sec   636 KBytes  5.22 Mbits/sec    0    707 KBytes       
[  4]  53.00-54.00  sec   700 KBytes  5.73 Mbits/sec    0    710 KBytes       
[  4]  54.00-55.00  sec   318 KBytes  2.61 Mbits/sec    0    714 KBytes       
[  4]  55.00-56.00  sec   445 KBytes  3.65 Mbits/sec    0    718 KBytes       
[  4]  56.00-57.00  sec   700 KBytes  5.73 Mbits/sec    0    740 KBytes       
[  4]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec   12    675 KBytes       
[  4]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    2    583 KBytes       
[  4]  59.00-60.00  sec   573 KBytes  4.70 Mbits/sec    1    523 KBytes       
[  4]  60.00-61.00  sec  1.24 MBytes  10.4 Mbits/sec    0    571 KBytes       
[  4]  61.00-62.00  sec   573 KBytes  4.69 Mbits/sec    0    634 KBytes       
[  4]  62.00-63.00  sec   445 KBytes  3.66 Mbits/sec    0    675 KBytes       
[  4]  63.00-64.00  sec   255 KBytes  2.08 Mbits/sec    0    691 KBytes       
[  4]  64.00-65.00  sec   573 KBytes  4.68 Mbits/sec    0    718 KBytes       
[  4]  65.00-66.00  sec   573 KBytes  4.70 Mbits/sec    0    735 KBytes       
[  4]  66.00-67.00  sec   255 KBytes  2.08 Mbits/sec    0    738 KBytes       
[  4]  67.00-68.00  sec   636 KBytes  5.21 Mbits/sec    0    744 KBytes       
[  4]  68.00-69.00  sec   573 KBytes  4.69 Mbits/sec    0    749 KBytes       
[  4]  69.00-70.00  sec   191 KBytes  1.56 Mbits/sec    0    751 KBytes       
[  4]  70.00-71.00  sec   700 KBytes  5.73 Mbits/sec    0    766 KBytes       
[  4]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    7    660 KBytes       
[  4]  72.00-73.00  sec  0.00 Bytes  0.00 bits/sec    6    543 KBytes       
[  4]  73.00-74.00  sec   509 KBytes  4.17 Mbits/sec    1    536 KBytes       
[  4]  74.00-75.00  sec  1.25 MBytes  10.5 Mbits/sec    0    585 KBytes       
[  4]  75.00-76.00  sec   693 KBytes  5.67 Mbits/sec    0    650 KBytes       
[  4]  76.00-77.00  sec   318 KBytes  2.61 Mbits/sec    0    683 KBytes       
[  4]  77.00-78.00  sec   318 KBytes  2.61 Mbits/sec    0    706 KBytes       
[  4]  78.00-79.00  sec   700 KBytes  5.74 Mbits/sec    0    740 KBytes       
[  4]  79.00-80.00  sec  0.00 Bytes  0.00 bits/sec    9    680 KBytes       
[  4]  80.00-81.00  sec  0.00 Bytes  0.00 bits/sec   13    536 KBytes       
[  4]  81.00-82.00  sec   509 KBytes  4.17 Mbits/sec    3    518 KBytes       
[  4]  82.00-83.00  sec  1.24 MBytes  10.4 Mbits/sec    0    544 KBytes       
[  4]  83.00-84.00  sec   573 KBytes  4.70 Mbits/sec    0    580 KBytes       
[  4]  84.00-85.00  sec  0.00 Bytes  0.00 bits/sec    0    581 KBytes       
[  4]  85.00-86.00  sec   573 KBytes  4.70 Mbits/sec    0    608 KBytes       
[  4]  86.00-87.00  sec   636 KBytes  5.22 Mbits/sec    0    621 KBytes       
[  4]  87.00-88.00  sec   573 KBytes  4.69 Mbits/sec    0    626 KBytes       
[  4]  88.00-89.00  sec   255 KBytes  2.08 Mbits/sec    0    628 KBytes       
[  4]  89.00-90.00  sec   382 KBytes  3.13 Mbits/sec    0    631 KBytes       
[  4]  90.00-91.00  sec   636 KBytes  5.21 Mbits/sec    0    639 KBytes       
[  4]  91.00-92.00  sec   445 KBytes  3.65 Mbits/sec    0    659 KBytes       
[  4]  92.00-93.00  sec   191 KBytes  1.57 Mbits/sec    0    666 KBytes       
[  4]  93.00-94.00  sec   636 KBytes  5.21 Mbits/sec    0    717 KBytes       
[  4]  94.00-95.00  sec  0.00 Bytes  0.00 bits/sec   17    607 KBytes       
[  4]  95.00-96.00  sec  0.00 Bytes  0.00 bits/sec   13    502 KBytes       
[  4]  96.00-97.00  sec   509 KBytes  4.17 Mbits/sec   10    502 KBytes       
[  4]  97.00-98.00  sec  1.12 MBytes  9.38 Mbits/sec    0    546 KBytes       
[  4]  98.00-99.00  sec   509 KBytes  4.17 Mbits/sec    0    605 KBytes       
[  4]  99.00-100.00 sec   127 KBytes  1.04 Mbits/sec    0    617 KBytes       
[  4] 100.00-101.00 sec   509 KBytes  4.17 Mbits/sec    0    665 KBytes       
[  4] 101.00-102.00 sec  0.00 Bytes  0.00 bits/sec   24    532 KBytes       
[  4] 102.00-103.00 sec  0.00 Bytes  0.00 bits/sec    9    465 KBytes       
[  4] 103.00-104.00 sec   509 KBytes  4.17 Mbits/sec    0    465 KBytes       
[  4] 104.00-105.00 sec  1.12 MBytes  9.38 Mbits/sec    0    484 KBytes       
[  4] 105.00-106.00 sec   445 KBytes  3.65 Mbits/sec    0    519 KBytes       
[  4] 106.00-107.00 sec   445 KBytes  3.65 Mbits/sec    0    542 KBytes       
[  4] 107.00-108.00 sec   127 KBytes  1.04 Mbits/sec    0    547 KBytes       
[  4] 108.00-109.00 sec   509 KBytes  4.17 Mbits/sec    0    559 KBytes       
[  4] 109.00-110.00 sec   509 KBytes  4.17 Mbits/sec    0    563 KBytes       
[  4] 110.00-111.00 sec   255 KBytes  2.08 Mbits/sec    0    564 KBytes       
[  4] 111.00-112.00 sec   382 KBytes  3.13 Mbits/sec    0    568 KBytes       
[  4] 112.00-113.00 sec   509 KBytes  4.17 Mbits/sec    0    580 KBytes       
[  4] 113.00-114.00 sec   318 KBytes  2.61 Mbits/sec    0    600 KBytes       
[  4] 114.00-115.00 sec   255 KBytes  2.09 Mbits/sec    0    614 KBytes       
[  4] 115.00-116.00 sec  0.00 Bytes  0.00 bits/sec   22    465 KBytes       
[  4] 116.00-117.00 sec   127 KBytes  1.04 Mbits/sec   10    431 KBytes       
[  4] 117.00-118.00 sec   318 KBytes  2.61 Mbits/sec    0    431 KBytes       
[  4] 118.00-119.00 sec  1018 KBytes  8.34 Mbits/sec    0    468 KBytes       
[  4] 119.00-120.00 sec   509 KBytes  4.17 Mbits/sec    0    523 KBytes       
[  4] 120.00-121.00 sec   445 KBytes  3.65 Mbits/sec    0    566 KBytes       
[  4] 121.00-122.00 sec   318 KBytes  2.61 Mbits/sec    0    583 KBytes       
[  4] 122.00-123.00 sec   318 KBytes  2.61 Mbits/sec    0    595 KBytes       
[  4] 123.00-124.00 sec   573 KBytes  4.69 Mbits/sec    0    608 KBytes       
[  4] 124.00-125.00 sec   191 KBytes  1.56 Mbits/sec    0    611 KBytes       
[  4] 125.00-126.00 sec   191 KBytes  1.56 Mbits/sec    1    605 KBytes       
[  4] 126.00-127.00 sec  0.00 Bytes  0.00 bits/sec    5    428 KBytes       
[  4] 127.00-128.00 sec   573 KBytes  4.69 Mbits/sec    1    428 KBytes       
[  4] 128.00-129.00 sec   764 KBytes  6.25 Mbits/sec    0    438 KBytes       
[  4] 129.00-130.00 sec   382 KBytes  3.13 Mbits/sec    0    458 KBytes       
[  4] 130.00-131.00 sec   445 KBytes  3.65 Mbits/sec    0    486 KBytes       
[  4] 131.00-132.00 sec   445 KBytes  3.65 Mbits/sec    0    505 KBytes       
[  4] 132.00-133.00 sec   318 KBytes  2.61 Mbits/sec    0    512 KBytes       
[  4] 133.00-134.00 sec   255 KBytes  2.08 Mbits/sec    0    515 KBytes       
[  4] 134.00-135.00 sec   509 KBytes  4.17 Mbits/sec    0    519 KBytes       
[  4] 135.00-136.00 sec   382 KBytes  3.13 Mbits/sec    0    523 KBytes       
[  4] 136.00-137.00 sec   127 KBytes  1.04 Mbits/sec    0    526 KBytes       
[  4] 137.00-138.00 sec   509 KBytes  4.16 Mbits/sec    0    543 KBytes       
[  4] 138.00-139.00 sec   445 KBytes  3.65 Mbits/sec    0    577 KBytes       
[  4] 139.00-140.00 sec  63.6 KBytes   521 Kbits/sec    0    584 KBytes       
[  4] 140.00-141.00 sec  0.00 Bytes  0.00 bits/sec   32    416 KBytes       
[  4] 141.00-142.00 sec   318 KBytes  2.61 Mbits/sec    7    409 KBytes       
[  4] 142.00-143.00 sec  1018 KBytes  8.33 Mbits/sec    0    443 KBytes       
[  4] 143.00-144.00 sec   318 KBytes  2.61 Mbits/sec    0    479 KBytes       
[  4] 144.00-145.00 sec   191 KBytes  1.57 Mbits/sec    0    502 KBytes       
[  4] 145.00-146.00 sec   445 KBytes  3.65 Mbits/sec    0    540 KBytes       
[  4] 146.00-147.00 sec   573 KBytes  4.70 Mbits/sec    0    566 KBytes       
[  4] 147.00-148.00 sec   127 KBytes  1.04 Mbits/sec    0    570 KBytes       
[  4] 148.00-149.00 sec   382 KBytes  3.13 Mbits/sec    0    577 KBytes       
[  4] 149.00-150.00 sec   573 KBytes  4.69 Mbits/sec    0    581 KBytes       
[  4] 150.00-151.00 sec   191 KBytes  1.56 Mbits/sec    0    584 KBytes       
[  4] 151.00-152.00 sec   445 KBytes  3.65 Mbits/sec    0    590 KBytes       
[  4] 152.00-153.00 sec  0.00 Bytes  0.00 bits/sec    7    455 KBytes       
[  4] 153.00-154.00 sec   191 KBytes  1.56 Mbits/sec    1    413 KBytes       
[  4] 154.00-155.00 sec   891 KBytes  7.30 Mbits/sec    0    424 KBytes       
[  4] 155.00-156.00 sec   445 KBytes  3.65 Mbits/sec    0    458 KBytes       
[  4] 156.00-157.00 sec   382 KBytes  3.13 Mbits/sec    0    502 KBytes       
[  4] 157.00-158.00 sec   445 KBytes  3.65 Mbits/sec    0    543 KBytes       
[  4] 158.00-159.00 sec   509 KBytes  4.17 Mbits/sec    0    570 KBytes       
[  4] 159.00-160.00 sec   191 KBytes  1.56 Mbits/sec    0    574 KBytes       
[  4] 160.00-161.00 sec   445 KBytes  3.65 Mbits/sec    0    584 KBytes       
[  4] 161.00-162.00 sec   573 KBytes  4.69 Mbits/sec    0    588 KBytes       
[  4] 162.00-163.00 sec   191 KBytes  1.56 Mbits/sec    0    591 KBytes       
[  4] 163.00-164.00 sec   382 KBytes  3.13 Mbits/sec    0    595 KBytes       
[  4] 164.00-165.00 sec   573 KBytes  4.69 Mbits/sec    0    611 KBytes       
[  4] 165.00-166.00 sec  0.00 Bytes  0.00 bits/sec    5    561 KBytes       
[  4] 166.00-167.00 sec  0.00 Bytes  0.00 bits/sec   11    427 KBytes       
[  4] 167.00-168.00 sec   954 KBytes  7.82 Mbits/sec    0    445 KBytes       
[  4] 168.00-169.00 sec   573 KBytes  4.69 Mbits/sec    0    515 KBytes       
[  4] 169.00-170.00 sec   445 KBytes  3.65 Mbits/sec    0    557 KBytes       
[  4] 170.00-171.00 sec   318 KBytes  2.61 Mbits/sec    0    578 KBytes       
[  4] 171.00-172.00 sec   318 KBytes  2.61 Mbits/sec    0    591 KBytes       
[  4] 172.00-173.00 sec   509 KBytes  4.17 Mbits/sec    0    602 KBytes       
[  4] 173.00-174.00 sec   636 KBytes  5.21 Mbits/sec    0    608 KBytes       
[  4] 174.00-175.00 sec   382 KBytes  3.13 Mbits/sec    0    609 KBytes       
[  4] 175.00-176.00 sec   255 KBytes  2.08 Mbits/sec    0    612 KBytes       
[  4] 176.00-177.00 sec   573 KBytes  4.69 Mbits/sec    0    621 KBytes       
[  4] 177.00-178.00 sec   573 KBytes  4.69 Mbits/sec    0    643 KBytes       
[  4] 178.00-179.00 sec   255 KBytes  2.08 Mbits/sec    0    665 KBytes       
[  4] 179.00-180.00 sec   382 KBytes  3.13 Mbits/sec    0    694 KBytes       
[  4] 180.00-181.00 sec   318 KBytes  2.61 Mbits/sec   17    629 KBytes       
[  4] 181.00-182.00 sec  0.00 Bytes  0.00 bits/sec   27    526 KBytes       
[  4] 182.00-183.00 sec   445 KBytes  3.64 Mbits/sec   18    519 KBytes       
[  4] 183.00-184.00 sec  1.06 MBytes  8.88 Mbits/sec    0    567 KBytes       
[  4] 184.00-185.00 sec   509 KBytes  4.17 Mbits/sec    0    621 KBytes       
[  4] 185.00-186.00 sec   318 KBytes  2.61 Mbits/sec    0    659 KBytes       
[  4] 186.00-187.00 sec   445 KBytes  3.64 Mbits/sec    0    689 KBytes       
[  4] 187.00-188.00 sec  0.00 Bytes  0.00 bits/sec   29    537 KBytes       
[  4] 188.00-189.00 sec  0.00 Bytes  0.00 bits/sec   15    485 KBytes       
[  4] 189.00-190.00 sec  0.00 Bytes  0.00 bits/sec    0    485 KBytes       
[  4] 190.00-191.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 191.00-192.00 sec   382 KBytes  3.13 Mbits/sec    0   1.41 KBytes       
[  4] 192.00-193.00 sec  1.80 MBytes  15.1 Mbits/sec    0    567 KBytes       
[  4] 193.00-194.00 sec   382 KBytes  3.13 Mbits/sec    0    590 KBytes       
[  4] 194.00-195.00 sec   573 KBytes  4.69 Mbits/sec    0    618 KBytes       
[  4] 195.00-196.00 sec   382 KBytes  3.13 Mbits/sec    0    635 KBytes       
[  4] 196.00-197.00 sec   255 KBytes  2.09 Mbits/sec    0    649 KBytes       
[  4] 197.00-198.00 sec   636 KBytes  5.21 Mbits/sec    0    682 KBytes       
[  4] 198.00-199.00 sec   445 KBytes  3.65 Mbits/sec    0    703 KBytes       
[  4] 199.00-200.00 sec   255 KBytes  2.08 Mbits/sec    0    716 KBytes       
[  4] 200.00-201.00 sec  0.00 Bytes  0.00 bits/sec   28    502 KBytes       
[  4] 201.00-202.00 sec   445 KBytes  3.65 Mbits/sec    0    502 KBytes       
[  4] 202.00-203.00 sec  1018 KBytes  8.32 Mbits/sec    0    563 KBytes       
[  4] 203.00-204.00 sec   382 KBytes  3.13 Mbits/sec    0    608 KBytes       
[  4] 204.00-205.00 sec   445 KBytes  3.65 Mbits/sec    0    648 KBytes       
[  4] 205.00-206.00 sec   636 KBytes  5.21 Mbits/sec    0    686 KBytes       
[  4] 206.00-207.00 sec   318 KBytes  2.61 Mbits/sec    0    697 KBytes       
[  4] 207.00-208.00 sec   255 KBytes  2.08 Mbits/sec    2    683 KBytes       
[  4] 208.00-209.00 sec  0.00 Bytes  0.00 bits/sec   18    492 KBytes       
[  4] 209.00-210.00 sec  1.12 MBytes  9.39 Mbits/sec    0    502 KBytes       
[  4] 210.00-211.00 sec   509 KBytes  4.17 Mbits/sec    0    539 KBytes       
[  4] 211.00-212.00 sec   382 KBytes  3.13 Mbits/sec    0    561 KBytes       
[  4] 212.00-213.00 sec   318 KBytes  2.61 Mbits/sec    0    576 KBytes       
[  4] 213.00-214.00 sec   573 KBytes  4.69 Mbits/sec    0    590 KBytes       
[  4] 214.00-215.00 sec   573 KBytes  4.69 Mbits/sec    0    595 KBytes       
[  4] 215.00-216.00 sec   318 KBytes  2.61 Mbits/sec    0    597 KBytes       
[  4] 216.00-217.00 sec   318 KBytes  2.61 Mbits/sec    0    600 KBytes       
[  4] 217.00-218.00 sec   573 KBytes  4.69 Mbits/sec    0    607 KBytes       
[  4] 218.00-219.00 sec   573 KBytes  4.69 Mbits/sec    0    629 KBytes       
[  4] 219.00-220.00 sec   191 KBytes  1.57 Mbits/sec    0    645 KBytes       
[  4] 220.00-221.00 sec   445 KBytes  3.65 Mbits/sec    0    676 KBytes       
[  4] 221.00-222.00 sec  0.00 Bytes  0.00 bits/sec   49    472 KBytes       
[  4] 222.00-223.00 sec   191 KBytes  1.56 Mbits/sec    3    472 KBytes       
[  4] 223.00-224.00 sec   827 KBytes  6.77 Mbits/sec    0    485 KBytes       
[  4] 224.00-225.00 sec   573 KBytes  4.69 Mbits/sec    0    537 KBytes       
[  4] 225.00-226.00 sec   509 KBytes  4.17 Mbits/sec    0    594 KBytes       
[  4] 226.00-227.00 sec   382 KBytes  3.13 Mbits/sec    0    625 KBytes       
[  4] 227.00-228.00 sec   191 KBytes  1.56 Mbits/sec    0    638 KBytes       
[  4] 228.00-229.00 sec  0.00 Bytes  0.00 bits/sec   29    445 KBytes       
[  4] 229.00-230.00 sec   509 KBytes  4.17 Mbits/sec    0    445 KBytes       
[  4] 230.00-231.00 sec   891 KBytes  7.29 Mbits/sec    0    477 KBytes       
[  4] 231.00-232.00 sec   382 KBytes  3.13 Mbits/sec    0    501 KBytes       
[  4] 232.00-233.00 sec   255 KBytes  2.09 Mbits/sec    0    515 KBytes       
[  4] 233.00-234.00 sec   509 KBytes  4.17 Mbits/sec    0    530 KBytes       
[  4] 234.00-235.00 sec   509 KBytes  4.17 Mbits/sec    0    537 KBytes       
[  4] 235.00-236.00 sec   255 KBytes  2.08 Mbits/sec    0    539 KBytes       
[  4] 236.00-237.00 sec   255 KBytes  2.09 Mbits/sec    0    542 KBytes       
[  4] 237.00-238.00 sec   573 KBytes  4.69 Mbits/sec    0    547 KBytes       
[  4] 238.00-239.00 sec   445 KBytes  3.65 Mbits/sec    0    564 KBytes       
[  4] 239.00-240.00 sec   191 KBytes  1.56 Mbits/sec    0    576 KBytes       
[  4] 240.00-241.00 sec   445 KBytes  3.65 Mbits/sec    0    608 KBytes       
[  4] 241.00-241.00 sec  0.00 Bytes  0.00 bits/sec    0    608 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-241.00 sec   100 MBytes  3.49 Mbits/sec  1467             sender
[  4]   0.00-241.00 sec  95.3 MBytes  3.32 Mbits/sec                  receiver

iperf Done.
